--------------------------------------------------------------------------		
ORFs not available in the Yeast Deletion Collection  		
--------------------------------------------------------------------------		
ORF_name 	Gene_name                           	SGD_class
YNL339W-A	                                    	Dubious
YNL339W-B	                                    	Dubious
YNR001W-A	                                    	Dubious
YNR003W-A	                                    	Dubious
YNR034W-A	                                    	Uncharacterized
YNR075C-A	                                    	Uncharacterized
YNR076W  	PAU6                                	Verified
YNR077C  	                                    	Dubious
YOL083C-A	                                    	Dubious
YOL085W-A	                                    	Dubious
YOL155W-A	                                    	Uncharacterized
YOL156W  	HXT11, LGT3                         	Verified
YOL157C  	                                    	Uncharacterized
YOL161C  	                                    	Uncharacterized
YOL165C  	AAD15                               	Verified
YOL166W-A	                                    	Uncharacterized
YOR008W-B	                                    	Dubious
YOR011W-A	                                    	Uncharacterized
YOR032W-A	                                    	Uncharacterized
YOR072W-A	                                    	Dubious
YOR072W-B	                                    	Uncharacterized
YOR073W-A	                                    	Dubious
YOR108C-A	                                    	Dubious
YOR161W-A	                                    	Dubious
YOR161W-B	                                    	Dubious
YOR186C-A	                                    	Dubious
YOR192C-C	                                    	Uncharacterized
YOR231C-A	                                    	Dubious
YOR314W-A	                                    	Dubious
YOR329W-A	                                    	Dubious
YOR335W-A	                                    	Dubious
YOR381W-A	                                    	Uncharacterized
YOR387C  	                                    	Uncharacterized
YOR388C  	FDH1                                	Verified
YOR389W  	                                    	Uncharacterized
YOR390W  	                                    	Uncharacterized
YOR391C  	HSP33                               	Uncharacterized
YOR392W  	                                    	Dubious
YOR393W  	ERR1                                	Verified
YOR394C-A	                                    	Uncharacterized
YOR394W  	                                    	Uncharacterized
YOR396C-A	                                    	Dubious
YOR396W  	YRF1-8                              	Uncharacterized
YPL135C-A	                                    	Dubious
YPL222C-A	                                    	Dubious
YPL250W-A	                                    	Dubious
YPL278C  	                                    	Uncharacterized
YPL279C  	                                    	Uncharacterized
YPL280W  	HSP32                               	Uncharacterized
YPL281C  	ERR2                                	Verified
YPL282C  	                                    	Uncharacterized
YPL283C  	YRF1-7, YRF1                        	Verified
YPL283W-A	                                    	Dubious
YPL283W-B	                                    	Dubious
YPR002C-A	                                    	Dubious
YPR016W-A	                                    	Dubious
YPR036W-A	                                    	Verified
YPR074W-A	                                    	Dubious
YPR080W  	TEF1, EF-1 alpha                    	Verified
YPR081C  	GRS2                                	Verified
YPR102C  	RPL11A                              	Verified
YPR145C-A	                                    	Uncharacterized
YPR160C-A	                                    	Dubious
YPR160W-A	                                    	Dubious
YPR169W-A	                                    	Dubious
YPR170W-A	                                    	Dubious
YPR170W-B	                                    	Dubious
YPR202W  	                                    	Uncharacterized
YPR203W  	                                    	Uncharacterized
YPR204C-A	                                    	Dubious
YPR204W  	                                    	Uncharacterized
